rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
67,10000457,F4-2,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,294.0,-0.7673918008804321,0.18437953293323517
68,10000623,Ab1,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,76.0,-0.7435017824172974,0.17004378139972687
69,10000559,Apt- 83,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.006,-0.7400866150856018,0.24694624543190002
70,10000398,#11,Mammalian translation initiation factor 4A (eIF4A),ssRNA,8000.0,-0.7209687829017639,0.2702539265155792
71,10000090,RT6,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,5.0,-0.7109007835388184,0.22793063521385193
72,10001386,C7,SARS-CoV-2 Spike glycoprotein,ssDNA,89.41,-0.6833317875862122,0.2749609649181366
73,10000009,7A,Basic fibroblast growth factor (bFGF),ssRNA,5.0,-0.6828604936599731,0.1851251721382141
74,10000534,Clone 2.22,"Immunoglobulin E (IgE), Human",ssDNA,37.0,-0.6725782155990601,0.10135021060705185
75,10001027,PR10.1,HIV-1 aspartyl protease (PR),ssRNA,115.0,-0.6697803139686584,0.19760587811470032
76,10001096,anti-KpnI RNA Aptamer 30,KpnI isoschizomer Acc65I,ssRNA,18.6,-0.6557909250259399,0.22352084517478943
77,10001094,anti-KpnI RNA Aptamer 24,KpnI isoschizomer Acc65I,ssRNA,28.7,-0.6277226805686951,0.22099734842777252
78,10000557,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.7,-0.6131274700164795,0.21834658086299896
79,10000535,Clone 4.6,"Immunoglobulin E (IgE), Human",ssDNA,27.0,-0.6119171380996704,0.14235849678516388
80,10000124,C24,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.6048859357833862,0.23684804141521454
81,10001095,anti-KpnI RNA Aptamer 29,KpnI isoschizomer Acc65I,ssRNA,419.0,-0.5876976251602173,0.27731794118881226
82,10001401,C9,SARS-CoV-2 Spike glycoprotein,ssDNA,231.9,-0.5828068852424622,0.2169141322374344
83,10000082,40,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.19,-0.5729013681411743,0.2286461740732193
84,10000401,#30,Mammalian translation initiation factor 4A (eIF4A),ssRNA,1000.0,-0.553498387336731,0.22454723715782166
85,10000125,C33,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.5424712896347046,0.20077873766422272
86,10000015,26A,Basic fibroblast growth factor (bFGF),ssRNA,0.19,-0.5325454473495483,0.1842184066772461
87,10000008,5A,Basic fibroblast growth factor (bFGF),ssRNA,23.0,-0.5268856287002563,0.2285141795873642
88,10000867,Lep3,"Leptin protein, Human",ssDNA,320.0,-0.4895799458026886,0.20032569766044617
89,10000864,HA2b,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,3.7,-0.4483581483364105,0.26418784260749817
90,10000537,Clone 4.15,"Immunoglobulin E (IgE), Human",ssDNA,33.0,-0.4346120357513428,0.12186750024557114
91,10001093,anti-KpnI RNA Aptamer 20,KpnI isoschizomer Acc65I,ssRNA,11.6,-0.4280214011669159,0.28182268142700195
92,10000173,D.30-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.047,-0.4272082448005676,0.358991801738739
93,10000626,Ab4,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,104.0,-0.3922784924507141,0.10542029142379761
94,10000146,30-8,"Thrombin, Human",ssDNA,0.4,-0.3912815451622009,0.2872943580150604
95,10000578,II-31,Streptavidin,ssDNA,56.7,-0.3718886375427246,0.4166940450668335
96,10000355,aptamer B.3,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,10.0,-0.36646825075149536,0.155186265707016
97,10001377,LDH9r-1,"Lactate dehydrogenase (LDH), Human",ssDNA,19.3,-0.3627065420150757,0.0907398909330368
98,10000579,III-30,Streptavidin,ssDNA,65.5,-0.35445332527160645,0.14329664409160614
99,10000402,no.21,Mammalian translation initiation factor 4A (eIF4A),ssRNA,27.0,-0.3424540162086487,0.26332229375839233
100,10001207,MAMB1,Mammaglobin B (MGB2),ssDNA,13.0,-0.3293132781982422,0.231859490275383
101,10000532,Clone 2.11,"Immunoglobulin E (IgE), Human",ssDNA,84.0,-0.322826087474823,0.17773298919200897
102,10001210,MAMB12,Mammaglobin B (MGB2),ssDNA,19.0,-0.31935930252075195,0.17966295778751373
103,10001212,MAMA2,Mammaglobin A (MGB1),ssDNA,2.0,-0.3192344605922699,0.2116946578025818
104,10000523,4.4.27,"Immunoglobulin E (IgE), Human",ssDNA,23.0,-0.3148413300514221,0.18328852951526642
105,10000081,12,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,-0.3135281503200531,0.3138328194618225
106,10001387,C9,SARS-CoV-2 Spike glycoprotein,ssDNA,231.9,-0.3104604184627533,0.24573424458503723
