serial,aptamer_name,target,nucleic_type,kd_nm,ranking_score,ptm,iptm,has_cif,job_dir
10000356,aptamer B.2 SLII,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,200,0.6891369488261087,0.91,0.63,True,results/af3_msa_v2/10000356_aptamer_B.2_SLII
10000683,4C26,Proteinase K-resistant isoform (PrPSc),ssDNA,18,0.2640459281219629,0.49,0.07,True,results/af3_msa_v2/10000683_4C26
10000681,4C17,Proteinase K-resistant isoform (PrPSc),ssDNA,19,0.3524771272289859,0.52,0.18,True,results/af3_msa_v2/10000681_4C17
10000678,4C6,Proteinase K-resistant isoform (PrPSc),ssDNA,20,0.2580478943372111,0.47,0.05,True,results/af3_msa_v2/10000678_4C6
10000677,4C5,Proteinase K-resistant isoform (PrPSc),ssDNA,30,0.24697105729453597,0.48,0.04,True,results/af3_msa_v2/10000677_4C5
10000680,4C10,Proteinase K-resistant isoform (PrPSc),ssDNA,33,0.24146522173724988,0.49,0.04,True,results/af3_msa_v2/10000680_4C10
10000676,4C3,Proteinase K-resistant isoform (PrPSc),ssDNA,48,0.25896751847840427,0.47,0.04,True,results/af3_msa_v2/10000676_4C3
10000679,4C8,Proteinase K-resistant isoform (PrPSc),ssDNA,56,0.24256855946126732,0.47,0.04,True,results/af3_msa_v2/10000679_4C8
10000682,4C20,Proteinase K-resistant isoform (PrPSc),ssDNA,79,0.2517035978947914,0.47,0.04,True,results/af3_msa_v2/10000682_4C20
10000585,F47tr,RNA-dependent RNA polymerase (3Dpol),ssRNA,325,0.7849282100085979,0.95,0.74,True,results/af3_msa_v2/10000585_F47tr
10000583,F47,RNA-dependent RNA polymerase (3Dpol),ssRNA,375,0.4185027537248225,0.84,0.31,True,results/af3_msa_v2/10000583_F47
10000582,F38,RNA-dependent RNA polymerase (3Dpol),ssRNA,460,0.3604257827888194,0.84,0.24,True,results/af3_msa_v2/10000582_F38
10000584,F52,RNA-dependent RNA polymerase (3Dpol),ssRNA,625,0.4597145487332299,0.84,0.37,True,results/af3_msa_v2/10000584_F52
10000864,HA2b,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,3.7,0.22907228166952154,0.66,0.07,True,results/af3_msa_v2/10000864_HA2b
10000861,HA68,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,7.1,0.22834166241032255,0.66,0.07,True,results/af3_msa_v2/10000861_HA68
10000863,HA2a,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,16,0.22584348373101834,0.66,0.08,True,results/af3_msa_v2/10000863_HA2a
10000862,HA7,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,22.3,0.22985886245962153,0.66,0.07,True,results/af3_msa_v2/10000862_HA7
10000087,RT1,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,1,0.20986206973739718,0.68,0.09,True,results/af3_msa_v2/10000087_RT1
